[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 46.358 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 129.762 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 1.235 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 0.866 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 0.818 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 0.851 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 1.158 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 1.192 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 49: 44] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 0.931 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 54: 41] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 8.202 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 54: 41] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 1.456 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 54: 51] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 8.250 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 54: 51] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 1.429 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 54: 51] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 0.884 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[09: 54: 51] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/logistic/update_logistic HTTP/1.1 [status]: 200 [response-time]: 0.803 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
