[07: 26: 53] [ip]: ::ffff:192.168.0.110 - [method]: POST [url]: /api/v1/farmer/user_add_farmer HTTP/1.1 [status]: 200 [response-time]: 8.737 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 26: 53] [ip]: ::1 - [method]: GET [url]: /api/v1/farmer/user_get_all_data HTTP/1.1 [status]: 200 [response-time]: 2.561 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 26: 53] [ip]: ::ffff:192.168.0.110 - [method]: OPTIONS [url]: /api/v1/farmer/user_add_farmer HTTP/1.1 [status]: 200 [response-time]: 0.410 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 26: 53] [ip]: ::ffff:192.168.0.110 - [method]: POST [url]: /api/v1/farmer/user_add_farmer HTTP/1.1 [status]: 200 [response-time]: 1.777 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 26: 53] [ip]: ::1 - [method]: GET [url]: /api/v1/farmer/user_get_all_data HTTP/1.1 [status]: 200 [response-time]: 2.304 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 26: 53] [ip]: ::1 - [method]: GET [url]: /api/v1/farmer/user_get_all_data HTTP/1.1 [status]: 200 [response-time]: 2.106 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 26: 53] [ip]: ::1 - [method]: GET [url]: /api/v1/farmer/user_get_all_data HTTP/1.1 [status]: 200 [response-time]: 1.666 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 26: 53] [ip]: ::1 - [method]: GET [url]: /api/v1/farmer/user_get_all_data HTTP/1.1 [status]: 200 [response-time]: 2.215 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 26: 53] [ip]: ::1 - [method]: GET [url]: /api/v1/farmer/user_get_all_data HTTP/1.1 [status]: 200 [response-time]: 2.780 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[07: 26: 53] [ip]: ::1 - [method]: GET [url]: /api/v1/farmer/user_get_all_data HTTP/1.1 [status]: 200 [response-time]: 1.854 ms [client]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
